customer_id,primary_segment,customer_persona,retention_risk,cross_sell_opportunity,genai_targeting_priority,product_id,product_name,recommendation_score,recommendation_confidence,recommendation_reason,campaign_objective,marketing_angle,campaign_priority,recommendation_strength,campaign_context_ready
C000001,Premium High-Value,Premium Digital Customer,Low Risk,Moderate Cross-Sell Opportunity,Priority 2,P004,Personal Loan,0.6698216937576357,Medium,financial capacity and transaction activity support borrowing needs; strong digital affinity; strong segment fit,Cross-Sell,Introduce a complementary product and highlight flexible financing and convenience,Priority 2,0.6698216937576357,True
C000002,Core Active,Core Relationship Customer,Low Risk,Low Cross-Sell Opportunity,Priority 3,P008,Premium Banking,0.3507481116048571,Low,customer profile supports premium banking services,Engagement,Highlight premium services and exclusive benefits,Priority 3,0.3507481116048571,True
C000003,Core Active,Core Relationship Customer,Low Risk,Moderate Cross-Sell Opportunity,Priority 3,P007,Term Insurance,0.4300035192394279,Low,customer profile indicates potential protection needs,Cross-Sell,Introduce a complementary product and highlight financial protection and security,Priority 3,0.4300035192394279,True
C000004,Premium High-Value,Premium Digital Customer,Low Risk,Moderate Cross-Sell Opportunity,Priority 2,P008,Premium Banking,0.6923664547305816,Medium,customer profile supports premium banking services; strong digital affinity; strong segment fit,Cross-Sell,Introduce a complementary product and highlight premium services and exclusive benefits,Priority 2,0.6923664547305816,True
C000005,Premium High-Value,Premium Relationship Customer,Moderate Risk,Moderate Cross-Sell Opportunity,Priority 2,P008,Premium Banking,0.7277838846415925,Medium,customer profile supports premium banking services; high transaction activity; strong digital affinity,Cross-Sell,Introduce a complementary product and highlight premium services and exclusive benefits,Priority 2,0.7277838846415925,True
C000006,Core Active,Core Relationship Customer,Moderate Risk,Low Cross-Sell Opportunity,Priority 3,P007,Term Insurance,0.3890692117383832,Low,customer profile indicates potential protection needs,Engagement,Highlight financial protection and security,Priority 3,0.3890692117383832,True
C000007,Core Active,Core Relationship Customer,Critical Risk,Low Cross-Sell Opportunity,Priority 3,P008,Premium Banking,0.3926992544524754,Low,customer profile supports premium banking services; positive response to previous recommendations,Retention,Strengthen the customer relationship while highlight premium services and exclusive benefits,Priority 3,0.3926992544524754,True
C000008,Dormant / Declining,Dormant Reactivation Target,Critical Risk,Low Cross-Sell Opportunity,Priority 4,P007,Term Insurance,0.2457434756840189,Low,customer profile indicates potential protection needs; positive response to previous recommendations,Retention,Strengthen the customer relationship while highlight financial protection and security,Priority 4,0.2457434756840189,True
C000009,Core Active,Core Relationship Customer,High Risk,Low Cross-Sell Opportunity,Priority 4,P003,Rewards Credit Card,0.3021930440701942,Low,spending and transaction patterns support a rewards credit card,Retention,"Strengthen the customer relationship while highlight rewards, benefits and spending value",Priority 4,0.3021930440701942,True
C000010,Core Active,Core Relationship Customer,Critical Risk,Low Cross-Sell Opportunity,Priority 4,P007,Term Insurance,0.2620674618571345,Low,customer profile indicates potential protection needs,Retention,Strengthen the customer relationship while highlight financial protection and security,Priority 4,0.2620674618571345,True
C000011,Core Active,Core Digital Customer,High Risk,Moderate Cross-Sell Opportunity,Priority 3,P003,Rewards Credit Card,0.4057693188843579,Low,spending and transaction patterns support a rewards credit card; strong digital affinity,Retention,"Strengthen the customer relationship while highlight rewards, benefits and spending value",Priority 3,0.4057693188843579,True
C000012,Premium High-Value,Premium Relationship Customer,Moderate Risk,Moderate Cross-Sell Opportunity,Priority 2,P004,Personal Loan,0.7491054058171531,Medium,financial capacity and transaction activity support borrowing needs; strong segment fit; positive response to previous recommendations,Cross-Sell,Introduce a complementary product and highlight flexible financing and convenience,Priority 2,0.7491054058171531,True
C000013,Premium High-Value,Premium Digital Customer,Low Risk,Moderate Cross-Sell Opportunity,Priority 2,P003,Rewards Credit Card,0.6528808736164949,Medium,spending and transaction patterns support a rewards credit card; strong digital affinity; strong segment fit,Cross-Sell,"Introduce a complementary product and highlight rewards, benefits and spending value",Priority 2,0.6528808736164949,True
C000014,Premium High-Value,Premium Digital Customer,Moderate Risk,Moderate Cross-Sell Opportunity,Priority 2,P004,Personal Loan,0.6811446162662775,Medium,financial capacity and transaction activity support borrowing needs; high transaction activity; strong digital affinity,Cross-Sell,Introduce a complementary product and highlight flexible financing and convenience,Priority 2,0.6811446162662775,True
C000015,Core Active,Core Digital Customer,High Risk,Moderate Cross-Sell Opportunity,Priority 3,P003,Rewards Credit Card,0.4076368678649196,Low,spending and transaction patterns support a rewards credit card; strong digital affinity,Retention,"Strengthen the customer relationship while highlight rewards, benefits and spending value",Priority 3,0.4076368678649196,True
C000016,Core Active,Core Relationship Customer,Low Risk,Moderate Cross-Sell Opportunity,Priority 3,P007,Term Insurance,0.4528831595121375,Low,customer profile indicates potential protection needs; positive response to previous recommendations,Cross-Sell,Introduce a complementary product and highlight financial protection and security,Priority 3,0.4528831595121375,True
