customer_id,primary_segment,customer_persona,retention_risk,cross_sell_opportunity,genai_targeting_priority,product_id,product_name,recommendation_score,recommendation_confidence,recommendation_reason,campaign_objective,marketing_angle,campaign_priority,recommendation_strength,campaign_context_ready,subject,headline,campaign_body,cta,generation_source,variant_a_subject,variant_a_headline,variant_a_body,variant_a_cta,variant_b_subject,variant_b_headline,variant_b_body,variant_b_cta,variant_a_strategy,variant_b_strategy,test_group,variant_a,variant_b,variant_a_score,variant_b_score,winning_variant,winning_strategy,score_difference,ab_confidence,recommendation_count,evaluation_type,analytics_note
C000001,Premium High-Value,Premium Digital Customer,Low Risk,Moderate Cross-Sell Opportunity,Priority 2,P004,Personal Loan,0.6698216937576357,0.0,financial capacity and transaction activity support borrowing needs; strong digital affinity; strong segment fit,Cross-Sell,Introduce a complementary product and highlight flexible financing and convenience,Priority 2,0.6698216937576357,True,Discover Personal Loan,An option selected with your needs in mind,Explore Personal Loan and discover how it may complement your financial needs.,Explore Personal Loan,Fallback,Explore Personal Loan for your financial needs,Discover another option for your financial journey,"Based on your banking relationship, explore Personal Loan and see how it may complement your existing financial needs.",Explore Personal Loan,Have you explored Personal Loan?,Consider adding Personal Loan to your financial plans,Take the next step and learn more about Personal Loan. Review the available information to see whether it fits your financial needs.,Learn More,Benefit-Focused,Action-Focused,A/B,Benefit-Focused,Action-Focused,57.21637586096466,15.035828797222445,A,Benefit-Focused,42.18054706374222,High,3,Model-Based A/B Evaluation,Estimated model-based performance; not based on actual customer engagement data.
C000002,Core Active,Core Relationship Customer,Low Risk,Low Cross-Sell Opportunity,Priority 3,P008,Premium Banking,0.3507481116048571,0.0,customer profile supports premium banking services,Engagement,Highlight premium services and exclusive benefits,Priority 3,0.3507481116048571,True,Explore Premium Banking,A financial option worth exploring,Take a closer look at Premium Banking and see how it could complement your banking needs.,Learn More,Fallback,Discover Premium Banking,An option worth exploring,Explore Premium Banking and learn how it may complement your financial needs.,Learn More,See what Premium Banking can offer,Take a closer look at Premium Banking,Learn more about Premium Banking and consider whether it could complement your financial needs.,Learn More,Benefit-Focused,Action-Focused,A/B,Benefit-Focused,Action-Focused,8.58918714342008,89.50072862157906,B,Action-Focused,80.91154147815898,High,3,Model-Based A/B Evaluation,Estimated model-based performance; not based on actual customer engagement data.
C000003,Core Active,Core Relationship Customer,Low Risk,Moderate Cross-Sell Opportunity,Priority 3,P007,Term Insurance,0.4300035192394279,0.0,customer profile indicates potential protection needs,Cross-Sell,Introduce a complementary product and highlight financial protection and security,Priority 3,0.4300035192394279,True,Discover Term Insurance,An option selected with your needs in mind,Explore Term Insurance and discover how it may complement your financial needs.,Explore Term Insurance,Fallback,Explore Term Insurance for your financial needs,Discover another option for your financial journey,"Based on your banking relationship, explore Term Insurance and see how it may complement your existing financial needs.",Explore Term Insurance,Have you explored Term Insurance?,Consider adding Term Insurance to your financial plans,Take the next step and learn more about Term Insurance. Review the available information to see whether it fits your financial needs.,Learn More,Benefit-Focused,Action-Focused,A/B,Benefit-Focused,Action-Focused,51.343662329007515,9.652508059595052,A,Benefit-Focused,41.691154269412465,High,3,Model-Based A/B Evaluation,Estimated model-based performance; not based on actual customer engagement data.
C000004,Premium High-Value,Premium Digital Customer,Low Risk,Moderate Cross-Sell Opportunity,Priority 2,P008,Premium Banking,0.6923664547305816,0.0,customer profile supports premium banking services; strong digital affinity; strong segment fit,Cross-Sell,Introduce a complementary product and highlight premium services and exclusive benefits,Priority 2,0.6923664547305816,True,Discover Premium Banking,An option selected with your needs in mind,Explore Premium Banking and discover how it may complement your financial needs.,Explore Premium Banking,Fallback,Explore Premium Banking for your financial needs,Discover another option for your financial journey,"Based on your banking relationship, explore Premium Banking and see how it may complement your existing financial needs.",Explore Premium Banking,Have you explored Premium Banking?,Consider adding Premium Banking to your financial plans,Take the next step and learn more about Premium Banking. Review the available information to see whether it fits your financial needs.,Learn More,Benefit-Focused,Action-Focused,A/B,Benefit-Focused,Action-Focused,57.76845629901548,15.541902532102359,A,Benefit-Focused,42.22655376691313,High,3,Model-Based A/B Evaluation,Estimated model-based performance; not based on actual customer engagement data.
C000005,Premium High-Value,Premium Relationship Customer,Moderate Risk,Moderate Cross-Sell Opportunity,Priority 2,P008,Premium Banking,0.7277838846415925,0.0,customer profile supports premium banking services; high transaction activity; strong digital affinity,Cross-Sell,Introduce a complementary product and highlight premium services and exclusive benefits,Priority 2,0.7277838846415925,True,Discover Premium Banking,An option selected with your needs in mind,Explore Premium Banking and discover how it may complement your financial needs.,Explore Premium Banking,Fallback,Explore Premium Banking for your financial needs,Discover another option for your financial journey,"Based on your banking relationship, explore Premium Banking and see how it may complement your existing financial needs.",Explore Premium Banking,Have you explored Premium Banking?,Consider adding Premium Banking to your financial plans,Take the next step and learn more about Premium Banking. Review the available information to see whether it fits your financial needs.,Learn More,Benefit-Focused,Action-Focused,A/B,Benefit-Focused,Action-Focused,58.63576512714496,16.336935624554382,A,Benefit-Focused,42.29882950259058,High,3,Model-Based A/B Evaluation,Estimated model-based performance; not based on actual customer engagement data.
C000006,Core Active,Core Relationship Customer,Moderate Risk,Low Cross-Sell Opportunity,Priority 3,P007,Term Insurance,0.3890692117383832,0.0,customer profile indicates potential protection needs,Engagement,Highlight financial protection and security,Priority 3,0.3890692117383832,True,Explore Term Insurance,A financial option worth exploring,Take a closer look at Term Insurance and see how it could complement your banking needs.,Learn More,Fallback,Discover Term Insurance,An option worth exploring,Explore Term Insurance and learn how it may complement your financial needs.,Learn More,See what Term Insurance can offer,Take a closer look at Term Insurance,Learn more about Term Insurance and consider whether it could complement your financial needs.,Learn More,Benefit-Focused,Action-Focused,A/B,Benefit-Focused,Action-Focused,9.52760160581754,90.36094187877674,B,Action-Focused,80.8333402729592,High,3,Model-Based A/B Evaluation,Estimated model-based performance; not based on actual customer engagement data.
C000007,Core Active,Core Relationship Customer,Critical Risk,Low Cross-Sell Opportunity,Priority 3,P008,Premium Banking,0.3926992544524754,0.0,customer profile supports premium banking services; positive response to previous recommendations,Retention,Strengthen the customer relationship while highlight premium services and exclusive benefits,Priority 3,0.3926992544524754,True,Discover more value with Premium Banking,Benefits designed around your banking needs,Explore Premium Banking and discover an option designed to support your evolving financial needs.,Explore Premium Banking,Fallback,Discover more value with Premium Banking,More value for your banking journey,Explore Premium Banking and discover an option that may complement your evolving financial needs.,Explore Premium Banking,Keep exploring your options with Premium Banking,Consider your next banking opportunity,Take a closer look at Premium Banking and consider whether it could be a suitable addition to your financial plans.,Learn More,Benefit-Focused,Action-Focused,A/B,Benefit-Focused,Action-Focused,91.24380186265542,8.8151202234438,A,Benefit-Focused,82.42868163921162,High,3,Model-Based A/B Evaluation,Estimated model-based performance; not based on actual customer engagement data.
C000008,Dormant / Declining,Dormant Reactivation Target,Critical Risk,Low Cross-Sell Opportunity,Priority 4,P007,Term Insurance,0.2457434756840189,0.0,customer profile indicates potential protection needs; positive response to previous recommendations,Retention,Strengthen the customer relationship while highlight financial protection and security,Priority 4,0.2457434756840189,True,Discover more value with Term Insurance,Benefits designed around your banking needs,Explore Term Insurance and discover an option designed to support your evolving financial needs.,Explore Term Insurance,Fallback,Discover more value with Term Insurance,More value for your banking journey,Explore Term Insurance and discover an option that may complement your evolving financial needs.,Explore Term Insurance,Keep exploring your options with Term Insurance,Consider your next banking opportunity,Take a closer look at Term Insurance and consider whether it could be a suitable addition to your financial plans.,Learn More,Benefit-Focused,Action-Focused,A/B,Benefit-Focused,Action-Focused,87.64512051873044,5.5163289915125775,A,Benefit-Focused,82.12879152721786,High,3,Model-Based A/B Evaluation,Estimated model-based performance; not based on actual customer engagement data.
C000009,Core Active,Core Relationship Customer,High Risk,Low Cross-Sell Opportunity,Priority 4,P003,Rewards Credit Card,0.3021930440701942,0.0,spending and transaction patterns support a rewards credit card,Retention,"Strengthen the customer relationship while highlight rewards, benefits and spending value",Priority 4,0.3021930440701942,True,Discover more value with Rewards Credit Card,Benefits designed around your banking needs,Explore Rewards Credit Card and discover an option designed to support your evolving financial needs.,Explore Rewards Credit Card,Fallback,Discover more value with Rewards Credit Card,More value for your banking journey,Explore Rewards Credit Card and discover an option that may complement your evolving financial needs.,Explore Rewards Credit Card,Keep exploring your options with Rewards Credit Card,Consider your next banking opportunity,Take a closer look at Rewards Credit Card and consider whether it could be a suitable addition to your financial plans.,Learn More,Benefit-Focused,Action-Focused,A/B,Benefit-Focused,Action-Focused,89.02746839457696,6.783481211038548,A,Benefit-Focused,82.24398718353841,High,3,Model-Based A/B Evaluation,Estimated model-based performance; not based on actual customer engagement data.
C000010,Core Active,Core Relationship Customer,Critical Risk,Low Cross-Sell Opportunity,Priority 4,P007,Term Insurance,0.2620674618571345,0.0,customer profile indicates potential protection needs,Retention,Strengthen the customer relationship while highlight financial protection and security,Priority 4,0.2620674618571345,True,Discover more value with Term Insurance,Benefits designed around your banking needs,Explore Term Insurance and discover an option designed to support your evolving financial needs.,Explore Term Insurance,Fallback,Discover more value with Term Insurance,More value for your banking journey,Explore Term Insurance and discover an option that may complement your evolving financial needs.,Explore Term Insurance,Keep exploring your options with Term Insurance,Consider your next banking opportunity,Take a closer look at Term Insurance and consider whether it could be a suitable addition to your financial plans.,Learn More,Benefit-Focused,Action-Focused,A/B,Benefit-Focused,Action-Focused,88.04486542833511,5.882761825316856,A,Benefit-Focused,82.16210360301825,High,3,Model-Based A/B Evaluation,Estimated model-based performance; not based on actual customer engagement data.
