customer_id,product_id,product_name,product_type,category,primary_segment,customer_persona,retention_risk,cross_sell_opportunity,genai_targeting_priority,recommendation_rank,recommendation_priority,recommendation_score,business_priority_score,recommendation_confidence,score_gap_to_next,recommendation_reason,income_score,balance_score,spending_score,transaction_score,digital_score,segment_fit_score,historical_response_score,cross_sell_score
C000001,P004,Personal Loan,Loan,Lending,Premium High-Value,Premium Digital Customer,Low Risk,Moderate Cross-Sell Opportunity,Priority 2,1,Primary Recommendation,0.6698216937576357,0.6698216937576357,Medium,0.011091280634868,financial capacity and transaction activity support borrowing needs; strong digital affinity; strong segment fit,0.324835351603994,0.0793966103518364,0.3328501995613482,0.631578947368421,0.724,1.0,0.45,0.65
C000001,P008,Premium Banking,Banking,Premium,Premium High-Value,Premium Digital Customer,Low Risk,Moderate Cross-Sell Opportunity,Priority 2,2,Secondary Recommendation,0.6587304131227676,0.6587304131227676,Medium,0.0056054603563918,customer profile supports premium banking services; strong digital affinity; strong segment fit,0.324835351603994,0.0793966103518364,0.3328501995613482,0.631578947368421,0.724,1.0,0.45,0.65
C000001,P006,Mutual Fund Plan,Investment,Wealth,Premium High-Value,Premium Digital Customer,Low Risk,Moderate Cross-Sell Opportunity,Priority 2,3,Alternative Recommendation,0.6531249527663757,0.6531249527663757,Medium,0.0,financial capacity indicates potential for investment products; strong digital affinity; strong segment fit,0.324835351603994,0.0793966103518364,0.3328501995613482,0.631578947368421,0.724,1.0,0.45,0.65
C000002,P008,Premium Banking,Banking,Premium,Core Active,Core Relationship Customer,Low Risk,Low Cross-Sell Opportunity,Priority 3,1,Primary Recommendation,0.3507481116048571,0.3507481116048571,Low,0.0068764691928597,customer profile supports premium banking services,0.0250451455279371,0.0657216319296599,0.0324610759585346,0.5131578947368421,0.578,0.7,0.125,0.3
C000002,P006,Mutual Fund Plan,Investment,Wealth,Core Active,Core Relationship Customer,Low Risk,Low Cross-Sell Opportunity,Priority 3,2,Secondary Recommendation,0.3438716424119973,0.3438716424119973,Low,0.000551249406624,financial capacity indicates potential for investment products,0.0250451455279371,0.0657216319296599,0.0324610759585346,0.5131578947368421,0.578,0.7,0.125,0.3
C000002,P004,Personal Loan,Loan,Lending,Core Active,Core Relationship Customer,Low Risk,Low Cross-Sell Opportunity,Priority 3,3,Alternative Recommendation,0.3433203930053732,0.3433203930053732,Low,0.0,financial capacity and transaction activity support borrowing needs,0.0250451455279371,0.0657216319296599,0.0324610759585346,0.5131578947368421,0.578,0.7,0.125,0.3
C000003,P007,Term Insurance,Insurance,Protection,Core Active,Core Relationship Customer,Low Risk,Moderate Cross-Sell Opportunity,Priority 3,1,Primary Recommendation,0.4300035192394279,0.4300035192394279,Low,0.0149805527822799,customer profile indicates potential protection needs,0.1191948162311451,0.0379923385191133,0.0997110542315323,0.4736842105263157,0.488,0.7,0.5,0.65
C000003,P004,Personal Loan,Loan,Lending,Core Active,Core Relationship Customer,Low Risk,Moderate Cross-Sell Opportunity,Priority 3,2,Secondary Recommendation,0.415022966457148,0.415022966457148,Low,0.0057718641900987,financial capacity and transaction activity support borrowing needs,0.1191948162311451,0.0379923385191133,0.0997110542315323,0.4736842105263157,0.488,0.7,0.5,0.65
C000003,P008,Premium Banking,Banking,Premium,Core Active,Core Relationship Customer,Low Risk,Moderate Cross-Sell Opportunity,Priority 3,3,Alternative Recommendation,0.4092511022670492,0.4092511022670492,Low,0.0,customer profile supports premium banking services,0.1191948162311451,0.0379923385191133,0.0997110542315323,0.4736842105263157,0.488,0.7,0.5,0.65
C000004,P008,Premium Banking,Banking,Premium,Premium High-Value,Premium Digital Customer,Low Risk,Moderate Cross-Sell Opportunity,Priority 2,1,Primary Recommendation,0.6923664547305816,0.6923664547305816,Medium,0.0071396676774474,customer profile supports premium banking services; strong digital affinity; strong segment fit,0.5302660930529,0.2731031163232436,0.3592697671332598,0.6052631578947368,0.847,1.0,0.0,0.65
